Uso da CPU (%),Data e Hora,Nome do Programa
13.70,"2024-10-05 19:02:11.385660800 -03:00",backgroundTaskHost.exe
9.75,"2024-10-05 19:02:12.401972 -03:00",monitor_cpu.exe
5.57,"2024-10-05 19:02:13.419629100 -03:00",monitor_cpu.exe
9.95,"2024-10-05 19:02:14.435845300 -03:00",explorer.exe
27.97,"2024-10-05 19:02:15.457460900 -03:00",Spotify.exe
35.66,"2024-10-05 19:02:16.475582600 -03:00",Spotify.exe
21.92,"2024-10-05 19:02:17.494283600 -03:00",audiodg.exe
9.83,"2024-10-05 19:02:18.509288700 -03:00",Grammarly.Desktop.exe
16.98,"2024-10-05 19:02:19.526504100 -03:00",Spotify.exe
18.39,"2024-10-05 19:02:20.542748500 -03:00",Spotify.exe
18.83,"2024-10-05 19:02:21.564019400 -03:00",Spotify.exe
15.00,"2024-10-05 19:02:22.595223700 -03:00",Spotify.exe
16.63,"2024-10-05 19:02:23.612799 -03:00",Grammarly.Desktop.exe
8.09,"2024-10-05 19:02:24.631621400 -03:00",WindowsTerminal.exe
8.10,"2024-10-05 19:02:25.651248300 -03:00",Taskmgr.exe
5.83,"2024-10-05 19:02:26.667529200 -03:00",monitor_cpu.exe
5.87,"2024-10-05 19:02:27.686153200 -03:00",Taskmgr.exe
14.19,"2024-10-05 19:02:28.704887500 -03:00",monitor_cpu.exe
5.53,"2024-10-05 19:02:29.719337800 -03:00",monitor_cpu.exe
17.08,"2024-10-05 19:02:30.737245600 -03:00",Spotify.exe
14.40,"2024-10-05 19:02:31.755133500 -03:00",Spotify.exe
9.60,"2024-10-05 19:02:32.772540900 -03:00",Taskmgr.exe
8.09,"2024-10-05 19:02:33.787942700 -03:00",chrome.exe
7.37,"2024-10-05 19:02:34.803040 -03:00",Spotify.exe
4.42,"2024-10-05 19:02:35.817872300 -03:00",Taskmgr.exe
7.32,"2024-10-05 19:02:36.834423600 -03:00",Spotify.exe
4.37,"2024-10-05 19:02:37.849416800 -03:00",Spotify.exe
21.63,"2024-10-05 19:02:38.870730800 -03:00",Spotify.exe
40.71,"2024-10-05 19:02:39.887726 -03:00",Spotify.exe
10.87,"2024-10-05 19:02:40.907374700 -03:00",SnippingTool.exe
9.25,"2024-10-05 19:02:41.923736900 -03:00",msedgewebview2.exe
4.59,"2024-10-05 19:02:42.939068 -03:00",audiodg.exe
6.60,"2024-10-05 19:02:43.969088 -03:00",Taskmgr.exe
51.68,"2024-10-05 19:02:44.998818100 -03:00",AVGUI.exe
51.42,"2024-10-05 19:02:46.022104900 -03:00",SnippingTool.exe
9.81,"2024-10-05 19:02:47.038060400 -03:00",OneDrive.exe
16.21,"2024-10-05 19:02:48.056985700 -03:00",OneDrive.exe
19.62,"2024-10-05 19:02:49.079457300 -03:00",explorer.exe
16.39,"2024-10-05 19:02:50.096426800 -03:00",chrome.exe
7.91,"2024-10-05 19:02:51.112109500 -03:00",chrome.exe
10.70,"2024-10-05 19:02:52.127408100 -03:00",chrome.exe
9.12,"2024-10-05 19:02:53.149444700 -03:00",chrome.exe
16.06,"2024-10-05 19:02:54.169599300 -03:00",chrome.exe
27.26,"2024-10-05 19:02:55.192763300 -03:00",Spotify.exe
8.69,"2024-10-05 19:02:56.208966400 -03:00",chrome.exe
12.37,"2024-10-05 19:02:57.226597400 -03:00",audiodg.exe
9.14,"2024-10-05 19:02:58.260690900 -03:00",msedgewebview2.exe
26.56,"2024-10-05 19:02:58.362566700 -03:00",Dell.CoreServices.Client.exe
12.10,"2024-10-05 19:02:59.276897 -03:00",msedgewebview2.exe
9.29,"2024-10-05 19:02:59.377081600 -03:00",msedgewebview2.exe
6.37,"2024-10-05 19:03:00.297598700 -03:00",msedgewebview2.exe
7.00,"2024-10-05 19:03:00.394614800 -03:00",msedgewebview2.exe
13.95,"2024-10-05 19:03:00.993912500 -03:00",svchost.exe
11.52,"2024-10-05 19:03:01.313348700 -03:00",msedgewebview2.exe
10.97,"2024-10-05 19:03:01.412174700 -03:00",msedgewebview2.exe
10.04,"2024-10-05 19:03:02.010604300 -03:00",msedgewebview2.exe
6.54,"2024-10-05 19:03:02.330111800 -03:00",monitor_cpu.exe
6.77,"2024-10-05 19:03:02.429631700 -03:00",monitor_cpu.exe
